Value,Default
[`kubeflow_dependencies.kubeflow_argo_workflows.enabled`](https://github.com/deployKF/deployKF/blob/v0.1.3/generator/default_values.yaml#L1186),`false`
[`kubeflow_dependencies.kubeflow_argo_workflows.namespace`](https://github.com/deployKF/deployKF/blob/v0.1.3/generator/default_values.yaml#L1187),"`""kubeflow-argo-workflows""`"
[`kubeflow_dependencies.kubeflow_argo_workflows.extraManifests`](https://github.com/deployKF/deployKF/blob/v0.1.3/generator/default_values.yaml#L1200),`[]`
[`kubeflow_dependencies.kubeflow_argo_workflows.images.argoCli.repository`](https://github.com/deployKF/deployKF/blob/v0.1.3/generator/default_values.yaml#L1206),"`""quay.io/argoproj/argocli""`"
[`kubeflow_dependencies.kubeflow_argo_workflows.images.argoCli.tag`](https://github.com/deployKF/deployKF/blob/v0.1.3/generator/default_values.yaml#L1212),"`""v3.4.8""`"
[`kubeflow_dependencies.kubeflow_argo_workflows.images.argoCli.pullPolicy`](https://github.com/deployKF/deployKF/blob/v0.1.3/generator/default_values.yaml#L1213),"`""IfNotPresent""`"
[`kubeflow_dependencies.kubeflow_argo_workflows.images.argoExecutor.repository`](https://github.com/deployKF/deployKF/blob/v0.1.3/generator/default_values.yaml#L1216),"`""quay.io/argoproj/argoexec""`"
[`kubeflow_dependencies.kubeflow_argo_workflows.images.argoExecutor.tag`](https://github.com/deployKF/deployKF/blob/v0.1.3/generator/default_values.yaml#L1217),"`""v3.3.10""`"
[`kubeflow_dependencies.kubeflow_argo_workflows.images.argoExecutor.pullPolicy`](https://github.com/deployKF/deployKF/blob/v0.1.3/generator/default_values.yaml#L1218),"`""IfNotPresent""`"
[`kubeflow_dependencies.kubeflow_argo_workflows.images.argoWorkflowController.repository`](https://github.com/deployKF/deployKF/blob/v0.1.3/generator/default_values.yaml#L1221),"`""quay.io/argoproj/workflow-controller""`"
[`kubeflow_dependencies.kubeflow_argo_workflows.images.argoWorkflowController.tag`](https://github.com/deployKF/deployKF/blob/v0.1.3/generator/default_values.yaml#L1222),"`""v3.3.10""`"
[`kubeflow_dependencies.kubeflow_argo_workflows.images.argoWorkflowController.pullPolicy`](https://github.com/deployKF/deployKF/blob/v0.1.3/generator/default_values.yaml#L1223),"`""IfNotPresent""`"
[`kubeflow_dependencies.kubeflow_argo_workflows.artifactRepository.keyFormat`](https://github.com/deployKF/deployKF/blob/v0.1.3/generator/default_values.yaml#L1232),"`""artifacts/{{ workflow.namespace }}/{{ workflow.name }}/{{ workflow.creationTimestamp.Y }}/{{ workflow.creationTimestamp.m }}/{{ workflow.creationTimestamp.d }}/{{ pod.name }}""`"
[`kubeflow_dependencies.kubeflow_argo_workflows.controller.serviceAccount.create`](https://github.com/deployKF/deployKF/blob/v0.1.3/generator/default_values.yaml#L1241),`true`
[`kubeflow_dependencies.kubeflow_argo_workflows.controller.serviceAccount.name`](https://github.com/deployKF/deployKF/blob/v0.1.3/generator/default_values.yaml#L1242),"`""argo-workflow-controller""`"
[`kubeflow_dependencies.kubeflow_argo_workflows.server.serviceAccount.create`](https://github.com/deployKF/deployKF/blob/v0.1.3/generator/default_values.yaml#L1252),`true`
[`kubeflow_dependencies.kubeflow_argo_workflows.server.serviceAccount.name`](https://github.com/deployKF/deployKF/blob/v0.1.3/generator/default_values.yaml#L1253),"`""argo-server""`"
