Value,Default
[`kubeflow_tools.notebooks.enabled`](https://github.com/deployKF/deployKF/blob/v0.1.5/generator/default_values.yaml#L1442),`false`
[`kubeflow_tools.notebooks.extraManifests`](https://github.com/deployKF/deployKF/blob/v0.1.5/generator/default_values.yaml#L1448),`[]`
[`kubeflow_tools.notebooks.images.jupyterWebApp.repository`](https://github.com/deployKF/deployKF/blob/v0.1.5/generator/default_values.yaml#L1454),"`""docker.io/kubeflownotebookswg/jupyter-web-app""`"
[`kubeflow_tools.notebooks.images.jupyterWebApp.tag`](https://github.com/deployKF/deployKF/blob/v0.1.5/generator/default_values.yaml#L1455),`nil`
[`kubeflow_tools.notebooks.images.notebookController.repository`](https://github.com/deployKF/deployKF/blob/v0.1.5/generator/default_values.yaml#L1458),"`""docker.io/kubeflownotebookswg/notebook-controller""`"
[`kubeflow_tools.notebooks.images.notebookController.tag`](https://github.com/deployKF/deployKF/blob/v0.1.5/generator/default_values.yaml#L1459),`nil`
[`kubeflow_tools.notebooks.spawnerFormDefaults.allowCustomImage`](https://github.com/deployKF/deployKF/blob/v0.1.5/generator/default_values.yaml#L1470),`true`
[`kubeflow_tools.notebooks.spawnerFormDefaults.hideRegistry`](https://github.com/deployKF/deployKF/blob/v0.1.5/generator/default_values.yaml#L1473),`true`
[`kubeflow_tools.notebooks.spawnerFormDefaults.hideTag`](https://github.com/deployKF/deployKF/blob/v0.1.5/generator/default_values.yaml#L1476),`false`
[`kubeflow_tools.notebooks.spawnerFormDefaults.imagePullPolicy.readOnly`](https://github.com/deployKF/deployKF/blob/v0.1.5/generator/default_values.yaml#L1480),`false`
[`kubeflow_tools.notebooks.spawnerFormDefaults.imagePullPolicy.value`](https://github.com/deployKF/deployKF/blob/v0.1.5/generator/default_values.yaml#L1484),"`""IfNotPresent""`"
[`kubeflow_tools.notebooks.spawnerFormDefaults.image.value`](https://github.com/deployKF/deployKF/blob/v0.1.5/generator/default_values.yaml#L1492),"`""kubeflownotebookswg/jupyter-scipy:v1.8.0""`"
[`kubeflow_tools.notebooks.spawnerFormDefaults.image.options`](https://github.com/deployKF/deployKF/blob/v0.1.5/generator/default_values.yaml#L1495),"`[""kubeflownotebookswg/jupyter-scipy:v1.8.0"", ""kubeflownotebookswg/jupyter-pytorch-full:v1.8.0"", ""kubeflownotebookswg/jupyter-pytorch-cuda-full:v1.8.0"", ""kubeflownotebookswg/jupyter-tensorflow-full:v1.8.0"", ""kubeflownotebookswg/jupyter-tensorflow-cuda-full:v1.8.0""]`"
[`kubeflow_tools.notebooks.spawnerFormDefaults.imageGroupOne.value`](https://github.com/deployKF/deployKF/blob/v0.1.5/generator/default_values.yaml#L1512),"`""kubeflownotebookswg/codeserver-python:v1.8.0""`"
[`kubeflow_tools.notebooks.spawnerFormDefaults.imageGroupOne.options`](https://github.com/deployKF/deployKF/blob/v0.1.5/generator/default_values.yaml#L1515),"`[""kubeflownotebookswg/codeserver-python:v1.8.0""]`"
[`kubeflow_tools.notebooks.spawnerFormDefaults.imageGroupTwo.value`](https://github.com/deployKF/deployKF/blob/v0.1.5/generator/default_values.yaml#L1530),"`""kubeflownotebookswg/rstudio-tidyverse:v1.8.0""`"
[`kubeflow_tools.notebooks.spawnerFormDefaults.imageGroupTwo.options`](https://github.com/deployKF/deployKF/blob/v0.1.5/generator/default_values.yaml#L1533),"`[""kubeflownotebookswg/rstudio-tidyverse:v1.8.0""]`"
[`kubeflow_tools.notebooks.spawnerFormDefaults.cpu.readOnly`](https://github.com/deployKF/deployKF/blob/v0.1.5/generator/default_values.yaml#L1539),`false`
[`kubeflow_tools.notebooks.spawnerFormDefaults.cpu.value`](https://github.com/deployKF/deployKF/blob/v0.1.5/generator/default_values.yaml#L1542),"`""0.5""`"
[`kubeflow_tools.notebooks.spawnerFormDefaults.cpu.limitFactor`](https://github.com/deployKF/deployKF/blob/v0.1.5/generator/default_values.yaml#L1546),"`""1.2""`"
[`kubeflow_tools.notebooks.spawnerFormDefaults.memory.readOnly`](https://github.com/deployKF/deployKF/blob/v0.1.5/generator/default_values.yaml#L1551),`false`
